id,organization_id,name,alternate_name,description,transportation,latitude,longitude
1,,"National Center for Supercomputing Applications",NCSA,"Labs and offices","Bus MTD",40.115382614633,-88.224123737097
2049,,"Illinois Insurance Hotline",,,,,
2050,,"Illinois NOW",,,,,
2051,,"National Runaway Safeline (NRS)",,,,,
2052,,"OSHA - Peoria Area Office",,,,,
2053,,"Sex Addicts Anonymous",,,,,
2054,,"RAINN - Rape, Abuse, and Incest National Network",,,,,
2055,,"Illinois Spina Bifida Association",,,,,
2056,,"East Central Illinois Area Agency on Aging",,,"Full wheelchair access.",,
2057,,"Easterseals Central Illinois",,,,,
2058,,"Easterseals Central Illinois - Timber Pointe Outdoor Center",,,,,
2059,,"Eldercare Locator",,,,,
2060,,"Gamblers Anonymous",,,,,
2061,,"American Heart Association, Greater Illinois",,,,,
2062,,"Guardianship and Advocacy Commission - Chicago Administrative Office",,,,,
2063,,"Healing Hearts",,,,,
2064,,"Alcoholics Anonymous - Southern Illinois (Area 21)",,,,,
2065,,"Illinois Assistive Technology Program",,,,,
2066,,"Leukemia & Lymphoma Society - Illinois Chapter",,,,,
2067,,"Lincoln's ChalleNGe Academy - Illinois National Guard",,,,40.298062511858,-88.160829687566
2068,,"American Lung Association Illinois",,,,,
2069,,"Lions of Illinois Foundation",,,,,
2070,,"MADD - National Office",,,,,
2071,,"American Red Cross - Central Illinois - Peoria Chapter",,,"Fully Accessible",,
2072,,"National Library Service for the Blind and Physically Handicapped Regional Library",,,,,
2073,,"National Coalition Against Domestic Violence (NCADV)",,,,,
2074,,"Eye Care America",,,,,
2075,,"ABC Counseling and Family Services",,,,,
2076,,"National Association of Anorexia Nervosa and Associated Disorders (ANAD)",,,,,
2077,,"DRS Office - Champaign",,,,40.129910972961,-88.277022395412
2078,,"Overeaters Anonymous, Inc.",,,,,
2079,,"Parents Of Murdered Children (POMC), Central Illinois Chapter",,,,,
2080,,"American Parkinson Disease Association (APDA) - Midwest Chapter",,,,,
2081,,"PATH - Providing Access To Help",,,,,
