id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
1,"American Cancer Society",,,,http://www.cancer.org,,,,
2,"East Central Illinois Area Agency on Aging","eciaaa, ombudsma",,aginginfo@eciaaa.org,http://www.eciaaa.org,,37-0982325,,
3,"Easterseals Central Illinois",,,programs@eastersealsci.com,http://www.eastersealsci.com,,,,
5,"Illinois Department of Employment Security (IDES)","IDES, Illinois Job Link, Illinois JobLink, Illinois Work Net, Unemploymen",,,http://www.ides.illinois.gov,,,,
6,"Equip for Equality, Inc.",,,contactus@equipforequality.org,http://www.equipforequality.org,,,,
7,"Gamblers Anonymous",,,isomain@gamblersanonymous.org,http://www.gamblersanonymous.org,,,,
8,"Girl Scouts of Central Illinois - Bloomington Service Center",,,gsci@girlscouts-gsci.org,http://www.getyourgirlpower.org,,,,
9,"American Heart Association","AHA, American Stroke Association, AS",,,http://www.heart.org,,,,
10,"Guardianship and Advocacy Commission - Chicago Administrative Office","Human Rights, Human Rights Authority, Human Rights Commission, Illinois Office of State Guardian, Office of State Guardian, OSG, State Guardia",,,http://gac.state.il.us,,,,
11,"Healing Hearts",,,,http://www.idph.state.il.us/vitalrecords/index.htm,,,,
12,"Alcoholics Anonymous - Southern Illinois (Area 21)",A,,,http://www.aa.org,,,,
13,"Illinois Assistive Technology Program",IAT,,IATP@iltech.org,http://www.iltech.org,,,,
14,"Illinois Family Violence Coordinating Councils",fvc,,mary.ratliff@illinois.gov,http://www.ilfvcc.org,,,,
15,"Illinois Migrant Council",IM,,info@illinoismigrant.org,http://www.illinoismigrant.org,,,,
16,"Leukemia & Lymphoma Society - Illinois Chapter","Leukemia and Lymphoma Societ",,infocenter@lls.org,http://www.lls.org/illinois,,,,
17,"Lincoln's ChalleNGe Academy - Illinois National Guard","lca, lincoln challenge academy - illinois national guard, lincolns challenge academy - illinois national guar",,,http://www.lincolnschallenge.org,,,,
18,"American Lung Association Illinois","Lung HelpLin",,info@lung.org,http://www.lung.org,,,,
19,"Lions of Illinois Foundation","Lions Club, lions club",,office@lifnd.org,http://www.lionsofillinoisfoundation.org,,23-7379629,,
21,"Make-A-Wish of Illinois","illinois make a wish foundation, make a wish foundation, make a wish foundation illinoi",,info@illinois.wish.org,http://www.illinois.wish.org,,,,
22,"Heartland Health Care","Heartland Healthcare, Manor Care, ManorCar",,Normal@heartlandnursing.com,http://www.heartland-manorcare.com/Normal,,,,
23,"American Red Cross - Central and Southern Illinois","arc, Central Illinois Chapter, Home Front, Red Cross, Service to Military Familie",,,http://www.redcross.org/csil,,,,
24,"National Library Service for the Blind and Physically Handicapped","Alliance Library System, Rail System, RAILS, Reaching Across Illinois Library System, Talking Books, Voices of Visio",,isltbbs@ilsos.gov,http://www.ilbph.org,,,,
25,"Narcotics Anonymous",,,fsmail@na.org,http://www.na.org,,,,
26,"National Coalition Against Domestic Violence (NCADV)","illinois coalition against domestic violenc",,mainoffice@ncadv.org,http://www.ncadv.org,,,,
28,"ABC Counseling and Family Services","ABC Counseling & Family Service",,,http://www.abccounseling.org,,,,
29,"National Association of Anorexia Nervosa and Associated Disorders (ANAD)","National Association of Anorexia Nervosa & Associated Disorder",,hello@anad.org,http://www.anad.org,,,,
30,"Division of Rehabilitation Services (DRS)","doors, DORS, illinois department of rehabilitation services, illinois division of rehabilitation services, OR",,DHS.DRS@illinois.gov,http://www.dhs.state.il.us/page.aspx?item=29736,,,,
32,"Parents Of Murdered Children (POMC), Central Illinois Chapter",,,lisabobb1@frontier.com,http://www.pomc.org,,,,
33,"American Parkinson Disease Association (APDA) - Midwest Chapter","parkinsons disease support group, parkinson's disease support group, parkinsons support group, parkinson's support grou",,apdamidwest@apdamidwest.org,http://www.apdamidwest.org,,,,
34,"PATH - Providing Access To Help","2-1-1, PATH 211, path crisis center, path hotline, Personal Access Telephony Help, United Way 211, United Way 2-1-",,,http://www.pathcrisis.org,,37-0959-387,,
35,"Pavilion, The",,,info@pavilionhospital.com,http://www.pavilionhospital.com,,,,
36,"Peace Meal Senior Nutrition Program","congregate meals, home delivered meals, mobile meals, peace meal",,peacemeal@sblhs.org,http://www.sarahbush.org/peacemeal,,,,
37,"Planned Parenthood of Illinois Health Centers",,,,http://www.ppil.org,,,,
38,"Association for Child Development",,,Illinois@acdkids.org,http://www.acdkids.org,,,,
39,"Attorney General, State of Illinois","Consumer Hotline, Crime Victims Hotline, Disability Rights, illinois attorney general's office, Senior Citizen Hotlin",,e-info@atg.state.il.us,http://www.ag.state.il.us,,,,
43,"Illini Christian Ministries",,,admin@icmfamily.org,http://www.icmfamily.org,,,,
44,"Social Security Administration","Medicare, SSA, SSDI, SS",,,http://www.ssa.gov,,,,
46,"Illinois Hunger Coalition - Hunger Hotline",,,ilhungercoalition@gmail.com,http://www.ilhunger.org,,,,
47,"Special Olympics Illinois Headquarters","Heartland Special Olympics, Special Olympics Illinois - Region ",,bbrenner@soill.org,http://www.soill.org,,,,
