id,location_id,service_id,organization_id,contact_id,service_at_location_id,number,extension,type,language,description,department
1,,21902,,,,"(217) 586-2611 - Voice",,,,,
2,,21904,,,,"(217) 893-5700 - Voice",,,,,
3,,21905,,,,"(217) 893-5700 - Voice",,,,,
4,,21907,,,,"(217) 892-6824 - Voice",,,,,
5,,23773,,,,"(217) 892-6824 - Voice",,,,,
6,,22138,,,,"(217) 356-3852 - Voice",,,,,
7,,22139,,,,"(217) 356-3852 - Voice",,,,,
8,,22140,,,,"(217) 359-2122 - Voice",,,,,
9,,22168,,,,"(217) 333-1000 - Voice",,,,,
10,,22235,,,,"(217) 475-0270 - Voice - SHIP/MedAssist",,,,,
11,,22393,,,,"(217) 379-4302 - Voice",,,,,
12,,22394,,,,"(217) 379-4302 - Voice",,,,,
13,,22395,,,,"(217) 379-4302 - Voice",,,,,
14,,22396,,,,"(217) 379-4302 - Voice",,,,,
15,,22398,,,,"(217) 379-4302 - Voice",,,,,
16,,22400,,,,"(217) 379-4302 - Voice",,,,,
17,,22401,,,,"(217) 379-4302 - Voice",,,,,
18,,22403,,,,"(217) 379-4302 - Voice",,,,,
19,,22404,,,,"(217) 379-4302 - Voice",,,,,
20,,22406,,,,"(217) 379-4302 - Voice",,,,,
21,,22407,,,,"(217) 379-4302 - Voice",,,,,
22,,22408,,,,"(217) 379-4302 - Voice",,,,,
23,,22410,,,,"(217) 403-3710 - Voice",,,,,
24,,22411,,,,"(217) 403-3710 - Voice",,,,,
25,,22412,,,,"(217) 403-3710 - Voice",,,,,
26,,22413,,,,"(217) 403-3710 - Voice",,,,,
27,,22579,,,,"(217) 351-3701 - Voice",,,,,
28,,22944,,,,"(217) 552-1177 - Voice",,,,,
29,,30304,,,,"(217) 552-1177 - Voice",,,,,
30,,22946,,,,"(217) 649-1389 - Voice/Text",,,,,
31,,30679,,,,"(217) 649-1389 - Voice/Text",,,,,
32,,24331,,,,"(217) 359-3631 - Voice - Shelter Coordinator",,,,,
33,,23218,,,,"(217) 337-9057 - Voice",,,,,
34,,23219,,,,"(217) 337-9057 - Voice",,,,,
35,,23222,,,,"(217) 337-9057 - Voice",,,,,
36,,25000,,,,"(217) 337-9057 - Voice",,,,,
37,,25001,,,,"(217) 337-9057 - Voice",,,,,
38,,25065,,,,"(217) 337-9057 - Voice",,,,,
39,,25066,,,,"(217) 337-9057 - Voice",,,,,
40,,25067,,,,"(217) 337-9057 - Voice",,,,,
41,,31184,,,,,,,,,
42,,31185,,,,,,,,,
43,,25002,,,,"(217) 531-2360 - Voice",,,,,
44,,25003,,,,"(217) 531-2360 - Voice",,,,,
45,,25004,,,,"(217) 531-2360 - Voice",,,,,
46,,25005,,,,"(217) 531-2360 - Voice",,,,,
47,,25006,,,,"(217) 531-2360 - Voice",,,,,
48,,31221,,,,"(217) 344-2144 - Voice",,,,,
49,,23384,,,,"(630) 754-4500 - Voice",,,,,
50,,24445,,,,"(630) 754-4500 - Voice",,,,,
51,,23401,,,,"(847) 262-5134 - Voice",,,,,
52,,14304,,,,,,,,,
53,,14306,,,,,,,,,
54,,23558,,,,"(847) 668-2114 - Voice",,,,,
55,,31796,,,,"(847) 668-2114 - Voice",,,,,
56,,31797,,,,"(847) 668-2114 - Voice",,,,,
57,,31798,,,,"(847) 668-2114 - Voice",,,,,
58,,23872,,,,"(217) 784-4540 - Voice",,,,,
59,,23873,,,,"(217) 784-4540 - Voice",,,,,
60,,23874,,,,"(217) 784-4540 - Voice",,,,,
