id,location_id,attention,address_1,address_2,address_3,address_4,city,region,state_province,postal_code,country
1,,1,"1205 W Clark St",,,,Urbana,,IL,61801,231
6149,,,"Illinois Insurance Association",,,,Springfield,Sangamon,IL,62701,231
6150,,,"No Street Address Available",,,,Springfield,Sangamon,IL,62705,231
6151,,,"3141B N. Lincoln Avenue",,,,Chicago,Cook,IL,60657,231
6152,,,"1320 W. Commerce Drive, Suite 800",,,,Peoria,Peoria,IL,616151462,231
6153,,,"No Street Address Available",,,,Houston,Harris,TX,77270,231
6154,,,"1220 L Street N.W., Suite 500",,,,Washington,,DC,20005,231
6155,,,"2211 N. Oak Park Avenue",,,,Chicago,Cook,IL,60707,231
6156,,,"1003 Maple Hill Road",,,,Bloomington,McLean,IL,617059327,231
6157,,,"2404 E. Empire",,,,Bloomington,McLean,IL,61704,231
6158,,,"20 Timber Pointe Lane",,,,Hudson,McLean,IL,61748,231
6159,,,"No Street Address Available",,,,Washington,"District of Columbia",DC,20036,231
6160,,,"No Street Address Available",,,,"Los Angeles","Los Angeles",CA,90017,231
6161,,,"2141 W. White Oaks Drive, Suite A",,,,Springfield,Sangamon,IL,62704,231
6162,,,"160 N. LaSalle Street, Suite S500",,,,Chicago,Cook,IL,60601,231
6163,,,"2814 Scarborough Street",,,,Bloomington,McLean,IL,61705,231
6164,,,"No Street Address Available",,,,Bloomington,McLean,IL,61701,231
6165,,,"1020 S. Spring Street",,,,Springfield,Sangamon,IL,62704,231
6166,,,"954 W. Washington Boulevard, Suite 305",,,,Chicago,Cook,IL,60607,231
6167,,,"212 W. Borman Avenue",,,,Rantoul,Champaign,IL,61866,231
6168,,,"3000 Kelly Lane",,,,Springfield,Sangamon,IL,62711,231
6169,,,"2254 Oakland Drive",,,,Sycamore,DeKalb,IL,60178,231
6170,,,"511 E. John Carpenter Freeway, Suite 700",,,,Irving,Dallas,TX,75062,231
6171,,,"311 W. John H. Gwynn Jr. Avenue",,,,Peoria,Peoria,IL,61605,231
6172,,,"300 S. Second Street",,,,Springfield,Sangamon,IL,62701,231
6173,,,"One Broadway, Suite B210",,,,Denver,Denver,CO,80203,231
6174,,,"655 Beach Street",,,,"San Francisco","San Francisco",CA,94109,231
6175,,,"705 E. Lincoln Street, Suite 303",,,,Normal,McLean,IL,61761,231
6176,,,"220 N. Green Street",,,,Chicago,Cook,IL,60607,231
6177,,,"1307 N. Mattis Avenue",,,,Champaign,Champaign,IL,61821,231
6178,,,"6075 Zenith Court NE",,,,"Rio Rancho",Sandoval,NM,871446424,231
6179,,,"MRC Community Building Center",,,,Normal,McLean,IL,61761,231
6180,,,"1800 N. Main Street, Suite 215",,,,Wheaton,DuPage,IL,60187,231
6181,,,"201 E. Grove Street, Suite 200",,,,Bloomington,McLean,IL,61701,231
6182,,,"809 W. Church Street",,,,Champaign,Champaign,IL,61820,231
6183,,,"694 Castle Drive",,,,Charleston,Coles,IL,61920,231
6184,,,"302 E. Stoughton Street",,,,Champaign,Champaign,IL,618205414,231
6185,,,"4415 W. Harrison Street, Suite 535",,,,Hillside,Cook,IL,60162,231
6186,,,"275 Seventh Avenue",,,,"New York","New York",NY,10001,231
6187,,,"2900 Rocky Point Drive",,,,Tampa,Hillsborough,FL,33607,231
6188,,,"2060 State Highway 595",,,,Lindrith,"Rio Arriba",NM,87029,231
6189,,,"3 Henson Place, Suite 1",,,,Champaign,Champaign,IL,61820,231
6190,,,"5750 Major Boulevard, Suite 300",,,,Orlando,Orange,FL,32819,231
6191,,,"205 W. Monroe Street, Suite 310",,,,Chicago,Cook,IL,60606,231
6192,,,"2720 E. Lincoln",,,,Bloomington,McLean,IL,61704,231
6193,,,"Bldg. 1070",,,,"San Antonio",BEXAR,TX,78234,231
6194,,,"901 Southwind Drive",,,,Springfield,Sangamon,IL,62703,231
6195,,,"101 SW Madison Street",,,,Portland,,OR,97207,231
6196,,,"2800 Montvale Drive",,,,Springfield,Sangamon,IL,62704,231
6197,,,"3001 Montvale Drive, Suite A",,,,Springfield,Sangamon,IL,62704,231
6198,,,"1801 Fox Drive",,,,Champaign,Champaign,IL,61820,231
6199,,,"No Street Address Available",,,,"West Hollywood","Los Angeles",CA,90069,231
6200,,,"8100 N. University",,,,Peoria,Peoria,IL,61615,231
6201,,,"510 Devonshire Drive, Suite A",,,,Champaign,Champaign,IL,618207306,231
6202,,,"706 Arcadia Drive #8",,,,Bloomington,McLean,IL,61704,231
6203,,,"304 N. Maple, Suite 202",,,,Urbana,Champaign,IL,61802,231
6204,,,"180 N. Michigan Avenue, Suite 2300",,,,Chicago,Cook,IL,60601,231
6205,,,"1809 Woodfield Drive",,,,Savoy,Champaign,IL,61874,231
6206,,,"1703 N. Beauregard St.",,,,Alexandria,,VA,22311,231
6207,,,"55 E. Erie, Suite 2905",,,,Chicago,Cook,IL,60611,231
6208,,,"601 E Street, NW",,,,Washington,"District of Columbia",DC,20049,231
6209,,,"1901 S. 4th Street, Suite 209",,,,Effingham,Effingham,IL,62401,231
6210,,,"3573 S. Waverly Road",,,,"Eaton Rapids",Eaton,MI,48827,231
6211,,,"101 Madigan Drive",,,,Lincoln,Logan,IL,62656,231
6212,,,"No Street Address Available",,,,"Shawnee Mission",Johnson,KS,66201,231
6213,,,"1600 Clifton Road",,,,Atlanta,DeKalb,GA,303294027,231
6214,,,"406 E. Monroe Street",,,,Springfield,Sangamon,IL,627011498,231
6215,,,"No Street Address Available",,,,Champaign,Champaign,IL,61826,231
6216,,,"One Natural Resources Way, Suite 100",,,,Springfield,Sangamon,IL,627021271,231
6217,,,"14100 Crawford Street",,,,"Boys Town",Douglas,NE,68010,231
6218,,,"833 W. Jackson Boulevard",,,,Chicago,Cook,IL,60607,231
6219,,,"4340 East-West Highway, Suite 350",,,,Bethesda,Montgomery,MD,208143067,231
6220,,,"Al-Anon Family Group Headquarters, Inc",,,,"Virginia Beach","Virginia Beach City",VA,23454,231
6221,,,"1307 N. Mattis Avenue",,,,Champaign,Champaign,IL,61826,231
6222,,,"3301 Farber Drive",,,,Champaign,Champaign,IL,61822,231
6223,,,"109 W. North Street",,,,Danville,Vermilion,IL,61832,231
6224,,,"1801 W. Windsor Road",,,,Champaign,Champaign,IL,61821,231
6225,,,"600 E. University Avenue",,,,Urbana,Champaign,IL,61802,231
6226,,,"121 E Congress, Suite C",,,,Rantoul,Champaign,IL,61866,231
6227,,,"205 N. Race Street",,,,Urbana,Champaign,IL,61803,231
6228,,,"1304 W. Bradley Avenue",,,,Champaign,Champaign,IL,61821,231
6229,,,"1817 S. Neil Street, Suite 100",,,,Champaign,Champaign,IL,61820,231
6230,,,"1905 E. Main Street",,,,Urbana,Champaign,IL,61802,231
6231,,,"101 E. Main Street, 2nd Floor",,,,Urbana,Champaign,IL,61801,231
6232,,,"401 Burwash Avenue",,,,Savoy,Champaign,IL,61874,231
6233,,,"3900 Kearns Drive",,,,Champaign,Champaign,IL,61826,231
6234,,,"1400 W. Park Street",,,,Urbana,Champaign,IL,61801,231
6235,,,"102 N. Neil Street",,,,Champaign,Champaign,IL,61820,231
6236,,,"53 Logan Street",,,,Champaign,Champaign,IL,61820,231
6237,,,"3656 N. Halsted Street",,,,Chicago,Cook,IL,60613,231
6238,,,"799 Roosevelt Road, Building 4",,,,"Glen Ellyn",DuPage,IL,601375908,231
6239,,,"508 E. Church Street",,,,Champaign,Champaign,IL,61820,231
6240,,,"4700 N. University Street, Suite 91",,,,Peoria,Peoria,IL,616145849,231
6241,,,"No Street Address Available",,,,"New Paltz",Ulster,NY,12561,231
6242,,,"3290 Pine Orchard Lane, Suite 106",,,,"Ellicott City",Howard,MD,21042,231
6243,,,"No Street Address Available",,,,Chicago,Cook,IL,60630,231
6244,,,"1 Natural Resources Way, Suite 100",,,,Springfield,Sangamon,IL,627021271,231
