id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,taxonomy_ids
1,10018,,"Public Libraries",,"Public library serving the residents of Mahomet Township.",,,inactive,,,,,,,
2,10020,,"Recreational Activities/Sports",,"Parks and recreation department serving the residents of Rantoul.",,,inactive,,,,,,,
3,10020,,"Public Parks",,"Parks and recreation department serving the residents of Rantoul.",,,inactive,,,,,,,
4,10022,,"Home Rehabilitation Programs",,"Owner-Occupied Rehabilitation Programs and Grants:

Minor Rehab Program - Under this program, a grant up to $6,000 is provided for code-related repairs.  Priority is given to violations that are of an emergency nature which threatens the health or safety of the occupants of the home.

Full-Home Rehabilitation Program - Assistance up to $20,000 is available for major repair or renovation of homes which contain several code-related repairs or are in need of significant rehabilitation. The funds are placed in a 3-year forgivable mortgage on the home.

Rehabilitation work may also be completed to remove architectural barriers to the home.",,,inactive,,"Call or walk-in for more information or for an application.","- Own home (rental properties are not eligible).
- Home must be located within the Village of Rantoul.
- Meet general requirements related to cost of construction, zoning, etc.
- The sum of all liens and mortgages on home do not exceed 95% of home's value.
- Priority will be given to households with a disabled family member and to households aged 62 and older.
",,,"1-person household: $38,950 per year; 
2-person: $44,500; 
3-person: $50,050; 
4-person: $55,600. 
Call for additional income guidelines for larger family sizes.",
5,10022,,"Home Maintenance and Minor Repair Services",,"Owner-Occupied Rehabilitation Programs and Grants:

Minor Rehab Program - Under this program, a grant up to $6,000 is provided for code-related repairs.  Priority is given to violations that are of an emergency nature which threatens the health or safety of the occupants of the home.

Full-Home Rehabilitation Program - Assistance up to $20,000 is available for major repair or renovation of homes which contain several code-related repairs or are in need of significant rehabilitation. The funds are placed in a 3-year forgivable mortgage on the home.

Rehabilitation work may also be completed to remove architectural barriers to the home.",,,inactive,,"Call or walk-in for more information or for an application.","- Own home (rental properties are not eligible).
- Home must be located within the Village of Rantoul.
- Meet general requirements related to cost of construction, zoning, etc.
- The sum of all liens and mortgages on home do not exceed 95% of home's value.
- Priority will be given to households with a disabled family member and to households aged 62 and older.
",,,"1-person household: $38,950 per year; 
2-person: $44,500; 
3-person: $50,050; 
4-person: $55,600. 
Call for additional income guidelines for larger family sizes.",
6,10058,,"Extended Child Care",,"Afterschool program for school-aged children. Activities, food, and a computer lab are provided.",,,inactive,,"By phone.","For persons under 18.",,,,
7,10058,,"Youth Enrichment Programs",,"Afterschool program for school-aged children. Activities, food, and a computer lab are provided.",,,inactive,,"By phone.","For persons under 18.",,,,
8,10060,,"Food Pantries","Windsor Road Christian Church Food Pantry","Food pantry is available. Can access once every 30 days.",,,inactive,,Walk-in.,,,"Photo ID.",,832990803111047
9,10063,,Colleges/Universities,,"State university located in Champaign-Urbana. Offers a range of programs at the bachelor, master, and doctoral levels.",,,inactive,,,,,,,
10,10073,,"Prescription Expense Assistance",MedAssist,"Staff assist low-income people of all ages to determine eligibility and assist in making application to patient assistance programs offered by pharmaceutical companies.",,,inactive,,"By phone for appointment.",,,"Photo ID, proof of income, Social Security card, Medicare card (if applicable), list of medications and dosages.",,
11,10100,,"Divorce Mediation","Divorce Mediation","Mediators are trained in family dynamics, communication skills, and facilitative techniques to help family members resolve a dispute or decide important family issues.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
12,10100,,"Court Ordered DUI Evaluations","DUI Evaluations/Risk Education","DUI Evaluations and Risk Education classes are available.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
13,10100,,"DUI Offender Programs","DUI Evaluations/Risk Education","DUI Evaluations and Risk Education classes are available.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
14,10100,,"Substance Use Disorder Treatment Programs","Substance Abuse Therapy","Outpatient substance abuse therapy is available. A support group also meets on Tuesday evenings.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
16,10100,,"General Counseling Services","Individual/Family Therapy","CRCC is a multi-service community behavioral health center. Professionally trained therapists provide therapy and counseling for children, adolescents, and adults. Treatment interventions can be provided to individuals, families, or groups, based on the needs of those involved. Behavioral health issues treated include:
- Depression.
- Grief.
- Anxiety.
- Phobias.
- Life stresses.
- Marital issues.
- Adjustment problems.
- Parent-child issues.
- ADHD.
- Bipolar disorder.
- Schizophrenia.
- Domestic violence.
- Sexual abuse.",,,inactive,,"By phone, walk-in, or appointment.",,,"Proof of income, proof of residency.","$70,000 annual income.",
