id,service_id,location_id,description
4100,21902,10019,
4101,21904,10021,
4102,21905,10021,
4103,21907,10023,
4104,23773,10023,
4105,22138,10059,
4106,22139,10059,
4107,22140,10061,
4108,22168,10064,
4109,22235,10075,
4110,22393,10101,
4111,22394,10101,
4112,22395,10101,
4113,22396,10101,
4114,22398,10101,
4115,22400,10101,
4116,22401,10101,
4117,22403,10101,
4118,22404,10101,
4119,22406,10101,
4120,22407,10101,
4121,22408,10101,
4122,22410,10103,
4123,22411,10103,
4124,22412,10103,
4125,22413,10103,
4126,22579,10160,
4127,22944,10288,
4128,30304,10288,
4129,22946,10290,
4130,30679,10290,
4131,24331,10919,
4132,23218,10397,
4133,23219,10397,
4134,23222,10397,
4135,25000,10397,
4136,25001,10397,
4137,25065,10397,
4138,25066,10397,
4139,25067,10397,
4140,31184,10397,
4141,31185,10397,
4142,25002,11163,
4143,25003,11163,
4144,25004,11163,
4145,25005,11163,
4146,25006,11163,
4147,31221,10452,
4148,23384,10454,
4149,24445,10454,
4150,23401,10469,
4151,14304,7446,
4152,14306,7446,
4153,23558,10528,
4154,31796,10528,
4155,31797,10528,
4156,31798,10528,
4157,23872,10725,
4158,23873,10725,
4159,23874,10725,
4160,23876,10725,
4161,23877,10725,
4162,30887,10725,
4163,24050,10806,
4164,24074,10817,
4165,102,1084,
4166,24186,10865,
4167,24189,10865,
4168,24187,10866,
4169,24190,10866,
4170,24188,10867,
4171,24191,10867,
4172,1873,1089,
4173,1874,1089,
4174,1875,1089,
4175,24256,10894,
4176,24285,10903,
4177,24286,10903,
4178,24333,10921,
4179,24334,10923,
4180,24336,10927,
4181,24386,10950,
4182,24391,10957,
4183,24494,10988,
4184,24618,11046,
4185,11107,5630,
4186,31706,5630,
4187,30927,13841,
4188,24750,11083,
4189,24828,11095,
4190,24829,11095,
4191,24980,11157,
4192,25022,11165,
4193,25091,11185,
4194,25092,11185,
4195,25158,11185,
4196,25216,12302,
4197,25268,12321,
4198,1848,1126,
4199,25338,12349,
4200,29726,12349,
4201,29727,12349,
4202,25597,12437,
4203,25598,12437,
4204,25599,12437,
4205,25638,12456,
4206,10421,1142,
4207,30003,12509,
4208,14313,7456,
4209,14314,7456,
4210,14315,7456,
4211,14316,7456,
4212,14317,7456,
4213,14319,7456,
4214,21436,7456,
4215,26252,12656,
4216,26474,12724,
4217,30545,12733,
4218,26697,12791,
4219,26698,12791,
4220,30266,12791,
4221,26744,12803,
4222,26745,12803,
4223,30298,12803,
4224,30299,12803,
4225,30332,12804,
4226,26750,12805,
4227,26751,12805,
4228,30463,12806,
4229,30464,12806,
4230,26813,12821,
4231,26814,12821,
4232,26833,12826,
4233,30339,12826,
4234,30340,12826,
4235,26839,12829,
4236,26841,12830,
4237,26844,12830,
4238,30375,12940,
4239,30292,13022,
4240,30016,13083,
4241,2199,1206,
4242,27790,13141,
4243,27791,13141,
4244,27939,13170,
4245,29785,13170,
4246,29786,13170,
4247,28419,13322,
4248,83,1268,
4249,21064,9753,
4250,930,129,
4251,30427,13730,
4252,31837,14014,
4253,31838,14014,
4254,932,1406,
4255,223,1455,
4256,10897,1455,
4257,10898,1455,
4258,14389,7472,
4259,24410,7472,
4260,5273,3854,
4261,455,1503,
4262,19786,9211,
4263,784,1530,
4264,14405,7478,
4265,17647,1590,
4266,6,161,
4267,95,161,
4268,365,161,
4269,369,161,
4270,441,161,
4271,553,161,
4272,23255,10419,
4273,23256,10419,
4274,23257,10419,
4275,23258,10419,
4276,23259,10419,
4277,23260,10419,
4278,14331,7459,
4279,14333,7460,
4280,937,1808,
4281,9628,1808,
4282,24917,1808,
4283,24918,1808,
4284,335,1825,
4285,23053,4967,
4286,1737,129,
4287,1738,129,
4288,25021,129,
4289,142,133,
4290,17622,8485,
4291,13994,137,
4292,15142,137,
4293,212,1361,
4294,29658,13604,
4295,406,8220,
4296,30136,13679,
4297,670,139,
4298,1459,139,
4299,1646,139,
4300,12627,139,
4301,12628,139,
4302,30831,13816,
4303,31307,13903,
4304,13419,1455,
4305,14388,7472,
4306,264,1590,
4307,13217,1590,
4308,13218,1590,
4309,13219,1590,
4310,13220,1590,
4311,13221,1590,
4312,15199,1590,
4313,866,161,
4314,1576,161,
4315,14253,161,
4316,21716,161,
4317,23251,10419,
4318,23252,10419,
4319,23253,10419,
4320,23254,10419,
4321,20878,9670,
4322,288,1677,
4323,384,1712,
4324,304,1726,
4325,308,1762,
4326,30703,13799,
4327,206,191,
4328,362,1908,
4329,13754,6815,
4330,12872,6485,
4331,667,1934,
4332,24143,10851,
4333,25007,10851,
4334,25008,10851,
4335,30734,10851,
4336,765,2033,
4337,13791,6825,
4338,31085,6825,
4339,16267,7954,
4340,22419,7954,
4341,9641,2160,
4342,22823,2160,
4343,1711,2170,
4344,5256,2170,
4345,13415,2170,
4346,30423,13728,
4347,30425,13728,
4348,905,2176,
4349,10646,5352,
4350,16749,8219,
4351,16750,8219,
4352,16751,8219,
4353,16752,8219,
4354,16753,8219,
4355,122,2462,
4356,24622,2462,
4357,1067,2469,
4358,24629,2469,
4359,24837,2469,
4360,1178,2474,
4361,1179,2474,
4362,2314,2501,
4363,10772,5475,
4364,2338,2511,
4365,11128,5639,
4366,58,295,
4367,14308,7451,
4368,14309,7451,
4369,14411,7482,
4370,31173,7482,
4371,1071,324,
4372,1100,324,
4373,1606,324,
4374,15266,324,
4375,16245,324,
4376,401,37,
4377,5183,3804,
4378,13061,3804,
4379,13062,3804,
4380,13063,3804,
4381,19395,3804,
4382,5194,3810,
4383,650,2044,
4384,9913,2044,
4385,15373,2044,
4386,13284,6643,
4387,13789,6825,
4388,13790,6825,
4389,1712,2170,
4390,2222,2170,
4391,2224,2170,
4392,2225,2170,
4393,5252,2170,
4394,5253,2170,
4395,22584,5352,
4396,942,2238,
4397,15167,2238,
4398,15169,2238,
4399,29328,2238,
4400,15168,7688,
4401,16748,8219,
4402,13757,6818,
4403,13758,6818,
4404,14419,6818,
4405,22336,6818,
4406,1449,2427,
4407,16535,2427,
4408,1073,2438,
4409,1079,2450,
4410,1180,2474,
4411,2099,2474,
4412,2100,2474,
4413,2101,2474,
4414,12771,2474,
4415,15284,2474,
4416,31931,2474,
4417,33,2482,
4418,14310,7451,
4419,30855,7451,
4420,14971,297,
4421,14408,7482,
4422,14409,7482,
4423,14410,7482,
4424,4936,3725,
4425,5121,3745,
4426,5135,3764,
4427,923,379,
4428,5196,3814,
4429,936,385,
4430,16473,385,
4431,5312,3865,
4432,31231,3865,
4433,5313,3867,
4434,18480,3867,
4435,22100,3867,
4436,24886,3867,
4437,31509,3867,
4438,31832,3867,
4439,22801,10243,
4440,22802,10243,
4441,21865,423,
4442,70,433,
4443,10608,494,
4444,10609,494,
4445,10610,494,
4446,10611,494,
4447,14265,494,
4448,14266,494,
4449,18441,8708,
4450,18461,8708,
4451,24294,10904,
4452,134,52,
4453,620,52,
4454,1724,52,
4455,31280,5127,
4456,31281,5127,
4457,31282,5127,
4458,31283,5127,
4459,31284,5127,
4460,13755,6816,
4461,10791,5157,
4462,10508,5309,
4463,14179,5760,
4464,11395,5798,
4465,11397,5798,
4466,12264,5918,
4467,30572,5918,
4468,11769,5938,
4469,12280,5992,
4470,14416,7483,
4471,14417,7483,
4472,21671,7483,
4473,12571,6364,
4474,14656,7578,
4475,12748,6433,
4476,13195,6588,
4477,1975,682,
4478,1976,682,
4479,1977,682,
4480,5407,3912,
4481,5408,3912,
4482,14520,7539,
4483,14521,7539,
4484,513,403,
4485,468,433,
4486,587,433,
4487,314,50,
4488,29862,50,
4489,1522,494,
4490,10606,494,
4491,10607,494,
4492,128,6,
4493,864,6,
4494,22493,6,
4495,10,501,
4496,16412,5008,
4497,22038,5008,
4498,22039,5008,
4499,22040,5008,
4500,22041,5008,
4501,19524,9133,
4502,19525,9133,
4503,19526,9133,
4504,9948,5127,
4505,15864,5127,
4506,31277,5127,
4507,31278,5127,
4508,31279,5127,
4509,10509,5309,
4510,31298,5309,
4511,31299,5309,
4512,11180,5672,
4513,11316,5760,
4514,11317,5760,
4515,12343,5994,
4516,29753,5994,
4517,899,61,
4518,15622,7790,
4519,22476,7790,
4520,14413,7483,
4521,14414,7483,
4522,14415,7483,
4523,12751,6433,
4524,1978,682,
4525,17389,682,
4526,17418,682,
4527,17419,682,
4528,14923,6840,
4529,14928,6862,
4530,15109,6864,
4531,15111,7670,
4532,22825,10254,
4533,22826,10255,
4534,13583,6741,
4535,13584,6741,
4536,13585,6741,
4537,13586,6741,
4538,30051,6741,
4539,1466,698,
4540,31510,698,
4541,31512,698,
4542,18675,8,
4543,20442,8,
4544,20443,8,
4545,633,9,
4546,14829,7005,
4547,14830,7005,
4548,14831,7005,
4549,14833,7005,
4550,14834,7005,
4551,14835,7005,
4552,20217,7009,
4553,20218,7009,
4554,24067,7009,
4555,14868,7023,
4556,30729,7023,
4557,19469,9103,
4558,19471,9103,
4559,19472,9105,
4560,21687,7122,
4561,14688,7124,
4562,14537,7160,
4563,14538,7160,
4564,14539,7160,
4565,20633,7160,
4566,30708,7160,
4567,14645,7162,
4568,14646,7162,
4569,14132,7166,
4570,14133,7166,
4571,14458,7168,
4572,14650,7182,
4573,22814,7182,
4574,14524,7186,
4575,14527,7186,
4576,14528,7186,
4577,14529,7186,
4578,14530,7186,
4579,14531,7186,
4580,14532,7186,
4581,14533,7186,
4582,14565,7186,
4583,14597,7186,
4584,15244,7186,
4585,15245,7186,
4586,15651,7186,
4587,16204,7186,
4588,22409,7186,
4589,24865,7186,
4590,24866,7186,
4591,30735,7186,
4592,21389,7541,
4593,14522,7188,
4594,14018,7192,
4595,14020,7192,
4596,31475,7192,
4597,14166,7196,
4598,14140,7198,
4599,30631,7198,
4600,14089,7200,
4601,14207,7202,
4602,14257,7202,
4603,16297,7202,
4604,14611,7210,
4605,30966,7210,
4606,14142,7214,
4607,14143,7214,
4608,14144,7214,
4609,14614,7567,
4610,14619,7567,
4611,1614,8,
4612,18659,8,
4613,18662,8,
4614,18663,8,
4615,18665,8,
4616,18673,8,
4617,18674,8,
4618,14836,7005,
4619,22989,7005,
4620,14581,7009,
4621,14610,7009,
4622,20212,7009,
4623,20213,7009,
4624,20214,7009,
4625,20215,7009,
4626,14807,7128,
4627,14808,7128,
4628,14464,7136,
4629,14465,7136,
4630,19326,7150,
4631,14644,7154,
4632,14566,7156,
4633,14481,7158,
4634,30771,7158,
4635,14460,7168,
4636,14461,7168,
4637,21948,7168,
4638,15365,7172,
4639,15366,7172,
4640,20724,7172,
